ds,real,rf_pred,xgb_pred,residuo_rf,residuo_xgb
2024-10-26,1630.5,973.7886667686206,1154.1943,656.7113332313794,476.3056640625
2024-10-28,1713.5,1663.4657097637455,1451.9426,50.03429023625449,261.557373046875
2024-10-29,1643.5,1662.627603547346,2044.3953,-19.127603547346098,-400.895263671875
2024-10-30,628.0,1840.4627749869546,1688.8221,-1212.4627749869546,-1060.8221435546875
2024-10-31,395.0,1307.9780474224658,1485.6582,-912.9780474224658,-1090.658203125
2024-11-01,2732.0,1535.8403856413597,1766.9076,1196.1596143586403,965.0924072265625
2024-11-04,861.0,1623.817886982296,1743.2211,-762.8178869822959,-882.2210693359375
2024-11-05,2037.0,1552.3081758191258,1520.8247,484.69182418087416,516.17529296875
2024-11-06,1296.5,1434.1626372087362,1604.6556,-137.66263720873621,-308.1556396484375
2024-11-07,890.0,1362.1611120817518,1238.9054,-472.16111208175175,-348.9053955078125
2024-11-08,758.0,1380.1953812925958,1509.6226,-622.1953812925958,-751.62255859375
2024-11-09,2073.5,1236.36935778072,1400.2549,837.1306422192799,673.2451171875
2024-11-11,1378.0,1555.1460389588738,1689.7488,-177.14603895887376,-311.748779296875
2024-11-12,1333.5,1489.2329211070046,1221.2882,-155.7329211070046,112.2117919921875
2024-11-13,776.5,1313.3465801709951,1072.8197,-536.8465801709951,-296.3197021484375
2024-11-14,1720.0,1268.5681449055935,1241.328,451.4318550944065,478.6719970703125
2024-11-15,2103.0,1596.1687523071923,1548.3076,506.83124769280766,554.6923828125
2024-11-16,1748.5,1283.249377279277,1457.3999,465.25062272072296,291.10009765625
2024-11-18,1487.0,1776.271542647463,1728.7745,-289.2715426474631,-241.7745361328125
2024-11-19,2058.5,1836.0725004719727,1857.0803,222.42749952802728,201.419677734375
2024-11-20,1922.0,1758.004899951387,1821.2383,163.99510004861304,100.76171875
2024-11-21,1545.0,1843.1625483880562,1933.8958,-298.16254838805617,-388.895751953125
2024-11-22,1475.75,1722.138293011445,1829.7725,-246.38829301144506,-354.0224609375
2024-11-23,1223.0,1273.9754628385224,1321.6351,-50.97546283852239,-98.6351318359375
2024-11-25,1827.5,1905.051327835999,2077.0076,-77.55132783599902,-249.507568359375
2024-11-26,869.0,1820.3875108225109,1755.5265,-951.3875108225109,-886.5264892578125
2024-11-27,923.5,1278.681607430238,1206.6317,-355.18160743023805,-283.1317138671875
2024-11-28,981.5,1175.8549456029534,1213.3179,-194.35494560295342,-231.81787109375
2024-11-29,1183.0,1210.5542420370748,1388.3296,-27.5542420370748,-205.32958984375
2024-11-30,787.0,921.9426093736256,1228.4143,-134.9426093736256,-441.414306640625
2024-12-02,1572.0,1700.1637478933835,1964.8722,-128.16374789338352,-392.8721923828125
2024-12-03,1242.0,1554.7470775555,1535.1942,-312.7470775555,-293.1942138671875
2024-12-04,2094.0,1334.8599641905885,1479.0765,759.1400358094115,614.9234619140625
2024-12-05,1526.0,1362.0757640699312,1620.9171,163.9242359300688,-94.9171142578125
2024-12-06,3138.0,1641.0124489148634,1756.175,1496.9875510851366,1381.824951171875
2024-12-07,1942.0,1436.2634515725672,1426.3633,505.7365484274328,515.63671875
2024-12-09,2685.0,2133.9802583702967,2422.907,551.0197416297033,262.093017578125
2024-12-10,1607.0,2010.1358205371284,1907.7269,-403.13582053712844,-300.7269287109375
2024-12-11,1093.0,1876.0419986588397,1896.19,-783.0419986588397,-803.18994140625
2024-12-12,1030.0,2041.6349127280496,1711.4498,-1011.6349127280496,-681.4498291015625
2024-12-13,2171.0,2083.6339625179826,2116.4988,87.36603748201742,54.501220703125
2024-12-14,322.0,1308.5964920372128,1563.5707,-986.5964920372128,-1241.5706787109375
2024-12-16,2358.0,1923.5366928933845,1928.476,434.4633071066155,429.5240478515625
2024-12-17,3132.75,1672.0410536609545,1687.6855,1460.7089463390455,1445.064453125
2024-12-18,1140.5,1636.640942576535,1524.7816,-496.14094257653505,-384.2816162109375
2024-12-19,1096.0,1612.69687340793,1540.9344,-516.6968734079301,-444.9344482421875
2024-12-20,2303.0,1950.1611973488186,1945.0226,352.83880265118137,357.9774169921875
2024-12-21,3407.5,1422.3667556691921,1496.2467,1985.1332443308079,1911.2532958984375
2024-12-23,1224.0,2239.212212508824,2545.318,-1015.212212508824,-1321.318115234375
2024-12-24,427.5,1910.0037254985575,1800.9902,-1482.5037254985575,-1373.490234375
2024-12-26,1221.0,1832.298931571374,2101.207,-611.2989315713739,-880.20703125
2024-12-27,1134.5,1624.4176343832862,1451.4541,-489.9176343832862,-316.9541015625
