ds,real,prediccion,residuo
2024-11-23,1223.0,1229.2623,-6.2623291015625
2024-11-25,1827.5,1384.317,443.1829833984375
2024-11-26,869.0,1723.3822,-854.3822021484375
2024-11-27,923.5,1589.3187,-665.8187255859375
2024-11-28,981.5,1532.0348,-550.5347900390625
2024-11-29,1183.0,1244.78,-61.780029296875
2024-11-30,787.0,1898.1484,-1111.1484375
2024-12-02,1572.0,2260.8838,-688.8837890625
2024-12-03,1242.0,2393.0645,-1151.064453125
2024-12-04,2094.0,2013.771,80.22900390625
2024-12-05,1526.0,2127.7407,-601.74072265625
2024-12-06,3138.0,1431.1816,1706.818359375
2024-12-07,1942.0,1288.9928,653.0072021484375
2024-12-09,2685.0,2574.5957,110.404296875
2024-12-10,1607.0,2503.919,-896.9189453125
2024-12-11,1093.0,1998.3871,-905.3870849609375
2024-12-12,1030.0,2430.7852,-1400.78515625
2024-12-13,2171.0,2124.0054,46.99462890625
2024-12-14,322.0,1287.8334,-965.8333740234375
2024-12-16,2358.0,1957.5531,400.4468994140625
2024-12-17,3132.75,2097.68,1035.070068359375
2024-12-18,1140.5,1899.9478,-759.44775390625
2024-12-19,1096.0,2312.8665,-1216.866455078125
2024-12-20,2303.0,1997.1534,305.8465576171875
2024-12-21,3407.5,1071.9441,2335.555908203125
2024-12-23,1224.0,1773.357,-549.3570556640625
2024-12-24,427.5,2116.5835,-1689.08349609375
2024-12-26,1221.0,2590.7263,-1369.726318359375
2024-12-27,1134.5,2341.1826,-1206.6826171875
2024-12-28,1123.0,1581.2919,-458.2918701171875
2024-12-30,2675.0,1784.7646,890.2353515625
2024-12-31,855.0,2157.1584,-1302.158447265625
2025-01-02,2154.0,1394.0671,759.932861328125
2025-01-03,2389.0,1240.8853,1148.11474609375
2025-01-04,1654.0,989.9083,664.0916748046875
2025-01-06,2708.0,2488.2444,219.755615234375
2025-01-07,1519.0,2603.6091,-1084.609130859375
2025-01-08,2011.0,2136.7139,-125.7138671875
2025-01-09,1799.0,2335.976,-536.97607421875
2025-01-10,2632.5,2343.4983,289.001708984375
2025-01-11,2267.0,2758.5994,-491.599365234375
2025-01-13,2299.0,2047.4562,251.5438232421875
2025-01-14,1302.0,1754.6713,-452.6712646484375
2025-01-15,2655.5,1877.4542,778.0457763671875
2025-01-16,1825.5,1076.5134,748.986572265625
2025-01-17,3583.0,1833.747,1749.2530517578125
2025-01-18,913.0,1235.5582,-322.5582275390625
2025-01-20,1905.0,5557.0234,-3652.0234375
2025-01-21,2431.0,5546.4727,-3115.47265625
2025-01-23,3869.0,2786.008,1082.991943359375
2025-01-24,1679.0,2256.0972,-577.09716796875
2025-01-25,355.0,2472.9832,-2117.983154296875
2025-01-27,1454.0,3168.9631,-1714.963134765625
2025-01-28,840.0,3015.8203,-2175.8203125
2025-01-29,1334.0,1720.7291,-386.7291259765625
2025-01-30,891.0,1304.3866,-413.3865966796875
2025-01-31,1051.5,1351.9828,-300.4827880859375
2025-02-01,1216.5,1642.0801,-425.580078125
2025-02-03,2583.0,2134.7979,448.2021484375
2025-02-04,2397.0,2917.4731,-520.47314453125
2025-02-05,2566.5,2045.7937,520.706298828125
2025-02-06,1040.0,1622.2617,-582.26171875
2025-02-07,1695.0,1350.0519,344.9481201171875
2025-02-08,3241.0,1007.6799,2233.3201293945312
2025-02-10,2830.5,1735.5852,1094.914794921875
2025-02-11,2372.0,1894.8678,477.1322021484375
2025-02-12,2331.5,1790.8176,540.682373046875
2025-02-13,3484.5,2291.7014,1192.798583984375
2025-02-14,2691.5,2218.3599,473.14013671875
2025-02-15,1914.0,1270.6578,643.3421630859375
2025-02-17,1770.0,2605.8508,-835.850830078125
2025-02-18,1533.5,1845.2168,-311.716796875
2025-02-19,1619.0,2159.3562,-540.356201171875
2025-02-20,2260.0,2540.858,-280.85791015625
2025-02-21,1812.5,2937.357,-1124.85693359375
2025-02-22,1176.0,1081.5132,94.48681640625
2025-02-24,1817.5,2743.6248,-926.124755859375
2025-02-25,1917.0,2129.7795,-212.779541015625
2025-02-26,1212.0,1996.9563,-784.956298828125
2025-02-27,1225.5,1876.6534,-651.1534423828125
2025-02-28,1054.0,2130.632,-1076.632080078125
2025-03-01,726.5,1789.3289,-1062.828857421875
2025-03-05,2345.5,2213.4512,132.048828125
2025-03-06,2045.5,1936.7925,108.70751953125
2025-03-07,1974.0,1689.3293,284.670654296875
2025-03-08,1287.0,920.73096,366.26904296875
2025-03-10,2261.92,1720.4064,541.5136279296876
2025-03-11,1983.0,1864.1843,118.815673828125
2025-03-12,1747.5900000000001,2187.7932,-440.20321289062485
2025-03-13,1812.5,2954.5095,-1142.009521484375
2025-03-14,2936.0,2312.7537,623.246337890625
2025-03-15,1006.0,1190.5316,-184.5316162109375
2025-03-17,1748.0,2294.7212,-546.72119140625
2025-03-18,1346.0,1617.4211,-271.421142578125
2025-03-19,1223.0,1342.5839,-119.5838623046875
2025-03-20,1468.0,2121.3237,-653.32373046875
2025-03-21,1503.5,1605.0944,-101.5943603515625
2025-03-22,1028.0,764.54596,263.45404052734375
2025-03-24,1379.0,3148.9246,-1769.924560546875
2025-03-25,1984.25,2503.0417,-518.791748046875
2025-03-26,1311.5,2099.2598,-787.759765625
2025-03-27,1650.0,1944.8398,-294.83984375
2025-03-28,1644.0,1881.6895,-237.689453125
2025-03-29,687.0,1124.1223,-437.122314453125
2025-03-31,1922.5,2046.3965,-123.896484375
2025-04-01,2771.5,2322.3113,449.188720703125
2025-04-02,1551.0,2488.9287,-937.9287109375
2025-04-03,1021.0,1222.7678,-201.767822265625
2025-04-04,927.0,1823.0985,-896.0985107421875
2025-04-05,530.0,1138.3861,-608.3861083984375
2025-04-07,2934.0,1531.6794,1402.320556640625
2025-04-08,2881.5,1037.937,1843.56298828125
2025-04-09,1726.5,1181.918,544.58203125
2025-04-10,1642.0,1315.1971,326.8028564453125
2025-04-11,2097.5,1740.207,357.29296875
2025-04-12,1265.0,1168.5752,96.4248046875
2025-04-14,2545.5,3276.7373,-731.2373046875
2025-04-15,1344.0,2858.429,-1514.428955078125
2025-04-16,2449.0,1629.0171,819.98291015625
2025-04-17,1832.0,1521.0304,310.9696044921875
2025-04-19,1126.0,938.2228,187.7772216796875
2025-04-21,2268.0,1400.3307,867.6693115234375
2025-04-22,1614.0,1387.8706,226.12939453125
2025-04-23,2704.0,1741.7345,962.2655029296875
2025-04-24,1493.0,2086.48,-593.47998046875
2025-04-25,1186.0,2295.4695,-1109.469482421875
2025-04-26,1425.0,1529.4823,-104.4822998046875
2025-04-28,2722.0,1368.6869,1353.3131103515625
2025-04-29,3653.0,1564.9861,2088.013916015625
2025-04-30,2374.0,1976.2375,397.762451171875
2025-05-02,2921.0,1753.1466,1167.8533935546875
2025-05-03,1336.0,1464.659,-128.6590576171875
2025-05-05,2391.0,1816.9401,574.0599365234375
2025-05-06,3458.5,2027.1333,1431.36669921875
2025-05-07,752.0,1892.0627,-1140.062744140625
2025-05-08,2731.0,1720.0787,1010.9212646484375
2025-05-09,1752.0,2332.6113,-580.611328125
2025-05-10,3358.0,2244.2822,1113.7177734375
2025-05-12,1080.0,1995.0237,-915.023681640625
2025-05-13,2739.0,3101.1104,-362.1103515625
2025-05-14,1737.5,2577.4438,-839.94384765625
2025-05-15,1732.0,2055.4834,-323.4833984375
2025-05-16,2086.0,1459.4115,626.5885009765625
2025-05-17,1421.0,906.82465,514.1753540039062
2025-05-19,1913.0,1817.1771,95.8228759765625
2025-05-20,1342.0,1468.3545,-126.3544921875
2025-05-21,1607.0,1500.4907,106.50927734375
2025-05-22,1919.0,2164.112,-245.112060546875
2025-05-23,2025.0,1668.0494,356.9505615234375
2025-05-24,1726.0,2183.807,-457.806884765625
2025-05-26,1686.0,1501.765,184.2349853515625
2025-05-27,635.0,1878.4318,-1243.4317626953125
2025-05-28,1460.0,2291.8088,-831.808837890625
2025-05-29,1070.0,1907.8461,-837.8460693359375
2025-05-30,914.5,1967.0702,-1052.5701904296875
2025-05-31,771.0,1628.2329,-857.23291015625
2025-06-02,1114.0,2055.67,-941.669921875
2025-06-03,1882.0,2137.926,-255.926025390625
2025-06-04,1432.0,2155.425,-723.425048828125
2025-06-05,1507.5,1520.9369,-13.4368896484375
2025-06-06,2606.5,2175.0742,431.42578125
2025-06-09,1862.0,1338.4937,523.50634765625
2025-06-10,1880.0,1422.6261,457.3739013671875
2025-06-11,2628.0,1553.7192,1074.28076171875
2025-06-12,1819.75,1655.4446,164.305419921875
2025-06-13,1954.0,1918.7308,35.2691650390625
2025-06-14,2298.5,1398.9827,899.517333984375
2025-06-16,3430.0,1716.7218,1713.2781982421875
2025-06-17,2870.0,1841.3354,1028.66455078125
2025-06-18,2973.0,1690.383,1282.616943359375
2025-06-20,2221.5,1970.8417,250.6583251953125
2025-06-21,1076.0,1813.2235,-737.2235107421875
2025-06-23,2951.0,1341.0343,1609.9656982421875
2025-06-24,2854.0,1597.241,1256.759033203125
2025-06-25,1616.0,2214.7878,-598.787841796875
2025-06-26,2331.5,1633.1431,698.35693359375
2025-06-27,2271.0,1999.9445,271.0555419921875
2025-06-28,2878.0,1863.4789,1014.5211181640625
2025-06-30,2966.5,1455.3387,1511.1612548828125
2025-07-01,2381.0,1678.8451,702.1549072265625
2025-07-02,1791.5,3181.933,-1390.43310546875
2025-07-03,1832.0,605.0296,1226.9703979492188
2025-07-04,3999.5,2424.8228,1574.67724609375
2025-07-05,1203.5,1496.6698,-293.1697998046875
2025-07-07,2432.0,2142.1843,289.815673828125
2025-07-08,2780.5,1479.619,1300.8809814453125
2025-07-09,2076.0,1897.0284,178.9715576171875
2025-07-10,2583.0,1289.4398,1293.5601806640625
2025-07-11,1943.5,1203.2726,740.2274169921875
2025-07-12,1552.0,1340.3032,211.69677734375
2025-07-14,3782.0,3125.0525,656.947509765625
2025-07-15,3493.5,1940.5156,1552.984375
2025-07-16,2495.0,1189.4587,1305.541259765625
2025-07-17,2753.4,1666.13,1087.2699951171876
2025-07-18,2882.0,1483.0791,1398.9208984375
2025-07-19,1156.5,1155.202,1.2979736328125
2025-07-21,2019.0,1815.9851,203.014892578125
2025-07-22,2417.5,2027.4303,390.0697021484375
2025-07-23,1736.5,1583.1624,153.337646484375
2025-07-24,3148.6,1810.1182,1338.4818359375
2025-07-25,3757.5,2235.8267,1521.67333984375
2025-07-26,1067.9,1061.9524,5.947607421875091
2025-07-28,3571.75,1858.0408,1713.709228515625
2025-07-29,1506.0,2517.8171,-1011.817138671875
2025-07-30,1538.0,1963.9257,-425.9256591796875
2025-07-31,1691.0,1596.8691,94.130859375
2025-08-01,2049.0,1393.1349,655.8651123046875
2025-08-02,1486.5,1774.6194,-288.119384765625
2025-08-04,2257.0,1904.2162,352.7838134765625
2025-08-05,1306.5,2092.202,-785.701904296875
2025-08-08,1493.0,1686.0396,-193.03955078125
2025-08-09,1817.5,3444.2236,-1626.7236328125
2025-08-11,1085.0,1927.3408,-842.3408203125
2025-08-12,2946.75,1393.5806,1553.16943359375
2025-08-13,1937.0,1868.7709,68.2291259765625
2025-08-14,2498.0,1779.0648,718.9351806640625
2025-08-15,2942.0,1866.2551,1075.744873046875
2025-08-16,846.5,1020.7178,-174.2177734375
2025-08-18,1619.5,1744.498,-124.998046875
