auto,fecha,monto_recibido
306,2019-02-06,90.0
304,2019-02-06,510.0
303,2019-02-06,410.0
302,2019-02-06,220.0
301,2019-02-06,605.0
300,2019-02-06,990.0
299,2019-02-06,580.0
305,2019-02-06,33.0
317,2019-02-07,730.0
320,2019-02-07,90.0
319,2019-02-07,158.0
316,2019-02-07,1050.0
318,2019-02-07,162.0
314,2019-02-07,65.0
312,2019-02-07,505.0
315,2019-02-07,76.0
313,2019-02-07,40.0
328,2019-02-08,15.0
321,2019-02-08,900.0
322,2019-02-08,420.0
323,2019-02-08,75.0
324,2019-02-08,400.0
325,2019-02-08,370.0
326,2019-02-08,710.0
327,2019-02-08,205.0
329,2019-02-08,190.0
340,2019-02-09,130.0
341,2019-02-09,80.0
334,2019-02-09,290.0
343,2019-02-09,80.0
344,2019-02-09,40.0
339,2019-02-09,220.0
342,2019-02-09,60.0
338,2019-02-09,78.0
333,2019-02-09,1300.0
336,2019-02-09,220.0
335,2019-02-09,151.0
332,2019-02-09,650.0
331,2019-02-09,570.0
330,2019-02-09,324.0
337,2019-02-09,190.0
351,2019-02-11,250.0
354,2019-02-11,440.0
353,2019-02-11,280.0
352,2019-02-11,10.0
355,2019-02-11,50.0
350,2019-02-11,290.0
348,2019-02-11,131.0
347,2019-02-11,140.0
346,2019-02-11,640.0
345,2019-02-11,300.0
349,2019-02-11,1580.0
368,2019-02-12,155.0
366,2019-02-12,40.0
365,2019-02-12,450.0
364,2019-02-12,36.0
363,2019-02-12,55.0
362,2019-02-12,200.0
367,2019-02-12,95.0
360,2019-02-12,1000.0
359,2019-02-12,560.0
358,2019-02-12,235.0
357,2019-02-12,298.0
356,2019-02-12,400.0
361,2019-02-12,370.0
379,2019-02-13,320.0
378,2019-02-13,285.0
377,2019-02-13,250.0
376,2019-02-13,250.0
375,2019-02-13,370.0
373,2019-02-13,120.0
372,2019-02-13,800.0
371,2019-02-13,200.0
370,2019-02-13,450.0
369,2019-02-13,232.5
374,2019-02-13,15.0
385,2019-02-14,860.0
386,2019-02-14,600.0
387,2019-02-14,222.0
384,2019-02-14,184.0
381,2019-02-14,122.0
382,2019-02-14,475.0
380,2019-02-14,870.0
383,2019-02-14,88.0
388,2019-02-15,1140.0
389,2019-02-15,380.0
398,2019-02-16,6.0
397,2019-02-16,85.0
396,2019-02-16,320.0
395,2019-02-16,370.0
394,2019-02-16,60.0
393,2019-02-16,210.0
392,2019-02-16,400.0
391,2019-02-16,640.0
390,2019-02-16,752.0
410,2019-02-18,200.0
409,2019-02-18,144.0
408,2019-02-18,180.0
407,2019-02-18,230.0
406,2019-02-18,400.0
405,2019-02-18,320.0
399,2019-02-18,615.0
403,2019-02-18,510.0
402,2019-02-18,680.0
401,2019-02-18,203.0
400,2019-02-18,1100.0
404,2019-02-18,46.0
416,2019-02-19,430.0
417,2019-02-19,400.0
415,2019-02-19,570.0
418,2019-02-19,200.0
413,2019-02-19,245.0
412,2019-02-19,630.0
411,2019-02-19,163.0
414,2019-02-19,310.0
419,2019-02-20,306.0
420,2019-02-20,850.0
421,2019-02-20,30.0
422,2019-02-20,300.0
423,2019-02-20,3720.0
424,2019-02-20,660.0
425,2019-02-20,60.0
432,2019-02-21,900.0
431,2019-02-21,63.0
430,2019-02-21,220.0
433,2019-02-21,805.0
428,2019-02-21,672.0
427,2019-02-21,61.0
426,2019-02-21,795.0
429,2019-02-21,200.0
434,2019-02-22,450.0
435,2019-02-22,1650.0
436,2019-02-22,45.0
437,2019-02-22,1080.0
438,2019-02-22,394.0
439,2019-02-22,100.0
445,2019-02-23,200.0
444,2019-02-23,320.0
443,2019-02-23,600.0
440,2019-02-23,700.0
441,2019-02-23,510.0
442,2019-02-23,35.0
453,2019-02-25,633.0
456,2019-02-25,700.0
457,2019-02-25,250.0
455,2019-02-25,400.0
454,2019-02-25,170.0
452,2019-02-25,300.0
447,2019-02-25,125.0
450,2019-02-25,260.0
446,2019-02-25,120.0
451,2019-02-25,100.0
449,2019-02-25,850.0
448,2019-02-25,520.0
468,2019-02-26,200.0
465,2019-02-26,280.0
464,2019-02-26,45.0
463,2019-02-26,140.0
467,2019-02-26,100.0
461,2019-02-26,960.0
462,2019-02-26,450.0
458,2019-02-26,32.0
466,2019-02-26,170.0
459,2019-02-26,200.0
460,2019-02-26,650.0
469,2019-02-28,500.0
470,2019-02-28,1020.0
472,2019-02-28,720.0
473,2019-02-28,450.0
474,2019-02-28,1160.0
475,2019-02-28,450.0
476,2019-02-28,180.0
471,2019-02-28,500.0
484,2019-03-01,100.0
483,2019-03-01,280.0
482,2019-03-01,260.0
481,2019-03-01,930.0
479,2019-03-01,450.0
478,2019-03-01,140.0
477,2019-03-01,483.0
480,2019-03-01,510.0
494,2019-03-02,50.0
493,2019-03-02,360.0
492,2019-03-02,250.0
491,2019-03-02,500.0
490,2019-03-02,400.0
495,2019-03-02,10.0
488,2019-03-02,1310.0
487,2019-03-02,500.0
486,2019-03-02,90.0
485,2019-03-02,130.0
489,2019-03-02,300.0
496,2019-03-03,520.0
497,2019-03-03,250.0
498,2019-03-03,75.0
513,2019-03-07,520.0
514,2019-03-07,467.0
515,2019-03-07,850.0
516,2019-03-07,255.0
520,2019-03-07,220.0
518,2019-03-07,200.0
519,2019-03-07,460.0
521,2019-03-07,125.0
512,2019-03-07,190.0
517,2019-03-07,1110.0
511,2019-03-07,620.0
509,2019-03-07,480.0
510,2019-03-07,350.0
508,2019-03-07,350.0
507,2019-03-07,30.0
506,2019-03-07,1300.0
505,2019-03-07,280.0
504,2019-03-07,220.0
503,2019-03-07,200.0
502,2019-03-07,310.0
501,2019-03-07,1000.0
500,2019-03-07,50.0
499,2019-03-07,288.0
529,2019-03-08,220.0
528,2019-03-08,230.0
527,2019-03-08,400.0
526,2019-03-08,450.0
524,2019-03-08,1570.0
523,2019-03-08,250.0
522,2019-03-08,750.0
525,2019-03-08,450.0
534,2019-03-09,150.0
530,2019-03-09,260.0
531,2019-03-09,220.0
532,2019-03-09,200.0
533,2019-03-09,210.0
535,2019-03-09,70.0
545,2019-03-11,280.0
546,2019-03-11,170.0
544,2019-03-11,465.0
548,2019-03-11,3.0
549,2019-03-11,70.0
547,2019-03-11,180.0
543,2019-03-11,115.0
541,2019-03-11,83.0
539,2019-03-11,46.0
540,2019-03-11,570.0
538,2019-03-11,150.0
537,2019-03-11,420.0
536,2019-03-11,280.0
542,2019-03-11,770.0
558,2019-03-12,40.0
557,2019-03-12,485.0
555,2019-03-12,1170.0
554,2019-03-12,340.0
556,2019-03-12,280.0
