fecha,real,prediccion
2025-03-29,1675.36,2722.8921938277476
2025-03-30,1668.24,2722.8937649506847
2025-03-31,1661.12,2722.8952097451897
2025-04-01,1654.0,2722.8965383688837
2025-04-02,2397.0,2722.897760162651
2025-04-03,1662.0,2722.898883716308
2025-04-04,927.0,2722.8999169289928
2025-04-05,1179.5,2722.9008670647045
2025-04-06,1432.0,2722.9017408033674
2025-04-07,3999.5,2722.9025442877983
2025-04-08,2257.0,2722.9032831668906
2025-04-09,2269.8958333333335,2722.903962635332
2025-04-10,2282.7916666666665,2722.904587470121
2025-04-11,2295.6875,2722.9051620641576
2025-04-12,2308.5833333333335,2722.9056904571216
2025-04-13,2321.4791666666665,2722.906176363879
2025-04-14,2334.375,2722.906623200594
2025-04-15,2347.2708333333335,2722.907034108751
